Citing,Cited,wmd_title,wmd_abstract,wmd_body,wmd_citance_max,wmd_citance_avg
compstat-2010,1,0.3831998229219722,0.1870568986235983,0.12108883180882958,0.18160191741313453,0.18160191741313453
Cortes-Vapnik1995_Article_Support-VectorNetworks,1,0.6034465561540533,0.15164311906523287,0.0681289771208509,0.19671862380222382,0.15674442858231502
Robbins1951,1,0.986809917084621,inf,0.1714212995966367,inf,inf
1978915.1978919,2,0.7167789577860528,0.14411335150684043,0.11747984539713835,0.1682144584668746,0.1682144584668746
learning-features-2009-TR,2,0.31689881756903104,inf,0.10826532012313188,inf,inf
1-s2.0-016727389290072W-main,3,0.34503770975134285,0.18191255416890376,0.08860044187886057,0.1546096107892515,0.1546096107892515
1-s2.0-S0378775312019490-main,3,0.2823896830565138,0.18223025844754429,0.09221432038498,0.21060544146309895,0.21060544146309895
BFOscience,3,0.4363292624399543,0.08329164976710421,0.06551136622697343,0.10297002662979109,0.10297002662979109
s41563-018-0275-2,3,0.3563247619679205,0.09914144469899042,0.061919910049713395,0.13886650463809055,0.13886650463809055
1404.7456,4,0.6272243258815936,0.13556585836363313,0.18322877020149744,0.14688389362368617,0.14688389362368617
Lucchi14,4,0.5716825369065089,0.10721223968993472,0.10189914904376571,0.20973815389465367,0.20973815389465367
1512.03385,5,0.48510036076705665,0.19622763451665423,0.11603492789021926,0.17037958201711567,0.17037958201711567
4824-imagenet-classification-with-deep-convolutional-neural-networks,5,0.2990531156687565,0.22578421308249794,0.07657117744364934,0.20619127493250103,0.17497113709096673
mobilenets,5,0.27741739213374783,0.1437815644947441,0.16106014359595294,0.20175897265797843,0.20175897265797843
1-s2.0-S1074761318301213-main,6,0.4267228226714502,0.15890665322672193,0.10737804979741522,0.15928103119654077,0.15928103119654077
nihms958989,6,0.49087113047593506,0.227143394039675,0.062233539581414754,0.2522629296381204,0.21862456133843508
1505.04366,7,0.4354423405284457,0.1383928934835232,0.12159987532856162,0.1448948664187659,0.1448948664187659
1506.01497,7,0.43445524114761286,0.15701317338672569,0.2122938450719966,0.13458986901769385,0.13458986901769385
4824-imagenet-classification-with-deep-convolutional-neural-networks(1),7,0.47555702171768216,0.17766568735091637,0.08773341726217179,0.14312896559499827,0.14312896559499827
1202.2745,8,0.20802245400734673,0.12590973116901438,0.1523497634665512,0.1160691512430993,0.1160691512430993
remotesensing-08-00715,8,0.3735770294285316,0.16144578134772,0.11830420148791297,0.16470481471073184,0.16470481471073184
1402.4735,9,0.28991140173654445,0.14147249966740366,0.0804321693794001,0.2284516274301127,0.2284516274301127
1408.5093,9,0.41878260138087686,0.19105779867577052,0.09152909824458148,0.20610052574014892,0.17868332299338135
1508.02788,9,0.36778606325259183,0.23455730740156863,0.07052437658697765,0.16388118141913494,0.16388118141913494
koutnik2014gecco,9,0.4045104922237805,0.10730398365411661,0.090388879868818,0.14818706500391784,0.14818706500391784
1-s2.0-S016890029700048X-main,10,0.4012509956167183,0.22512956971020295,0.10845232410249257,0.20527725372365455,0.20527725372365455
Lecun98,10,0.3220322029551229,0.16088584897046748,0.06800784025481157,0.24690097302048544,0.19514568186285997
1402.4735(1),11,0.3711879602545883,0.12360153786340264,0.07631558643408583,0.17089994769821626,0.17089994769821626
1503.03832,11,0.32794175101047796,0.13643883794819955,0.11412666185540456,0.1557181861684775,0.1557181861684775
NatureDeepReview,11,0.4003834211370153,0.11612292199666156,0.08397278287454932,0.1359390905437736,0.1359390905437736
9,4,0.4307036581533033,0.1620344777961926,0.06309745319052357,0.19652184535551223,0.18373217314608564
9,8,0.40677385415339856,0.11098327775067449,0.0690097053815522,0.12708328858210854,0.12708328858210854
4,1,0.5594236383826843,0.1969170756644498,0.06170912168778991,0.23906695473827558,0.1857683382643276
11,10,0.254536530170349,0.12299746664391095,0.06883963980606418,0.1570569768087502,0.1570569768087502
4,7,0.5204176234832362,0.1489195041159171,0.05407402173594556,0.1209659867548972,0.11108414190835364
1,6,0.4067491438960652,0.1764612010241007,0.049658695979202146,0.20777350689835225,0.14757267072167604
