Citing,Cited,total_citation,author_overlap,author_overlap_ratio,cite_per_bib,cite_per_ref,in_table,citation_length,occurence_in_sections,occurs_in_group,reference_overlap,distance_between_citance,tfidf_Title,tfidf_Abstract,tfidf_Citance_Title (max),tfidf_Citance_Title (avg),tfidf_Citance_Abstract (max),tfidf_Citance_Abstract (avg),pos_max,pos_avg,neg_max,neg_avg,neu_max,neu_avg,com_max,com_avg,wmd_title,wmd_abstract,wmd_body,wmd_citance_max,wmd_citance_avg,kw_title,kw_abstract,kw_body,bib_Author_overlap,bib_Title_overlap,bib_Venue_overlap,Label
C00-2140,A00-1043,0,0,0,0,0,0,106,18,0,0,0,0.093494774975367,0.060115598697127,0.070085661196041,0.070085661196041,0.040704951077682,0.040704951077682,0,0,0.021,0.021,0.979,0.979,-0.296,-0.296,0.307147067404747,0.146488113654167,0.097986415681165,0.130381250014501,0.130381250014501,1,5,7,0.014084507042254,0,0.05,0
P02-1057,A00-1043,1,0,0,0.058823529411765,0.021276595744681,0,209,7,1,0.117647058823529,0,0,0.124081745227621,0.179458736243005,0.179458736243005,0.066420164787053,0.066420164787053,0.059,0.059,0.023,0.023,0.919,0.919,0.3331,0.3331,0.411824697967735,0.099598384432013,0.084751915073643,0.171711485755108,0.171711485755108,0,7,10,0.2,0.117647058823529,0.071428571428572,0
W09-1118,A97-1011,1,0,0,0.04,0.016949152542373,0,264,9,0,0,0,0,0,0.038547624347669,0.038547624347669,0.014237095250739,0.014237095250739,0.046,0.046,0,0,0.954,0.954,0.8466,0.8466,0.335208611315289,0.246975662403514,0.128412723574317,0.244761713872382,0.244761713872382,0,0,1,0.015625,0,0.047619047619048,1
A00-2017,A97-1011,2,0,0,0.090909090909091,0.042553191489362,0,101.5,13,0,0,1212,0,0.021688651269764,0.032114245038283,0.035651786427302,0.05861738890955,0.065119131612021,0.024,0.012,0.022,0.011,0.978,0.977,0.0772,-0.1094,0.516967166109366,0.155909975171285,0.115965383129301,0.316456365173673,0.270340644987241,0,3,7,0,0,0.071428571428572,1
C00-2099,A97-1011,0,0,0,0,0,0,92,10,0,0.047619047619048,0,0.144383555277387,0.027463583273297,0.143542297130656,0.143542297130656,0.069927679973051,0.069927679973051,0.03,0.03,0,0,0.97,0.97,0.4084,0.4084,0.440382392555458,0.23191286109016,0.124590413320507,0.194619347109028,0.194619347109028,1,2,6,0.071428571428572,0.047619047619048,0.181818181818182,0
W04-1505,A97-1011,1,0,0,0.028571428571429,0.5,0,39,15,0,0,0,0.115215543377931,0.010677678862476,0.053532255578343,0.053532255578343,0,0,0.21,0.21,0,0,0.79,0.79,0.8292,0.8292,0.47112890651581,0.288518682062768,0.114605346346995,0.374050899011943,0.374050899011943,1,1,9,0.045454545454546,0,0,0
P99-1033,A97-1011,1,0,0,0.2,0.03030303030303,0,84,9,0,0.2,0,0.115215543377931,0.160829176296416,0.195462411906224,0.195462411906224,0.060289433157249,0.060289433157249,0.128,0.128,0,0,0.872,0.872,0.8718,0.8718,0.347489621149593,0.194835960174437,0.106697884461667,0.280716943274532,0.280716943274532,1,4,14,0.142857142857143,0.2,0,0
W06-0202,A97-1011,1,0,0,0.055555555555556,0.022727272727273,0,86,9,1,0.055555555555556,0,0,0.007487693456229,0.27653352106434,0.27653352106434,0.205289992381137,0.205289992381137,0,0,0,0,1,1,0,0,0.542149549588659,0.191285672577274,0.127249695054286,0.274650791953382,0.274650791953382,0,1,7,0.042553191489362,0.055555555555556,0.083333333333333,3
P01-1006,A97-1011,1,0,0,0.052631578947369,0.025641025641026,0,73,10,0,0,0,0,0,0.082487467576947,0.082487467576947,0.137335916026544,0.137335916026544,0,0,0,0,1,1,0,0,0.507692061073166,0.246001772097998,0.090535059116851,0.24050952857227,0.24050952857227,0,0,4,0,0,0.055555555555556,3
E12-1072,A97-1011,1,0,0,0.032258064516129,0.012345679012346,0,43,15,1,0,0,0,0,0.108089114590596,0.108089114590596,0.02807111628149,0.02807111628149,0.052,0.052,0,0,0.948,0.948,0.2732,0.2732,0.422174490914875,0.192355754411239,0.111323128205302,0.311111772142915,0.311111772142915,0,0,5,0,0,0.047619047619048,0
